ID Transaksi,Tanggal,Bulan,Tahun,Usia Pembeli,Gender,Berat Barang (gr),Berapa Kali Transaksi,Waktu Pengiriman (Hari),Ongkos Kirim
8984,8,10,2024,53,P,280,9,5,30000
5496,1,1,2022,58,P,56,14,5,20000
2567,7,1,2024,67,L,662,18,2,30000
4061,19,8,2024,33,L,165,11,14,10000
4885,23,8,2023,25,L,603,8,4,50000
8215,9,4,2024,46,P,124,19,14,20000
8655,26,11,2023,42,L,704,20,4,20000
1163,31,1,2023,53,P,376,18,1,50000
957,3,12,2023,53,P,349,5,5,30000
2625,9,12,2024,48,P,761,2,13,10000
4698,19,8,2024,62,L,211,5,4,50000
8868,21,1,2022,67,P,732,16,3,20000
8301,3,12,2024,76,L,401,12,1,50000
1330,24,10,2023,64,P,837,1,8,50000
7466,17,8,2023,33,P,479,3,9,40000
1930,11,3,2024,72,P,79,1,14,50000
7539,27,1,2022,41,P,194,5,8,30000
355,4,5,2024,51,P,402,1,12,30000
3998,19,2,2022,35,P,44,3,14,30000
1026,10,3,2023,43,L,872,16,8,40000
1089,24,8,2024,32,P,804,11,3,30000
115,14,3,2024,52,L,276,17,1,40000
4998,6,9,2023,50,P,506,16,6,40000
1679,29,7,2024,21,L,292,9,10,40000
2267,17,2,2022,38,P,550,20,9,50000
2810,7,5,2022,44,L,279,15,10,40000
2488,9,10,2024,42,L,621,17,11,20000
9705,13,12,2022,49,L,266,6,14,50000
1148,13,3,2023,54,P,513,2,6,10000
2237,29,7,2022,29,L,979,4,6,40000
6619,29,5,2023,57,P,173,18,1,30000
5481,2,6,2023,49,L,745,1,9,40000
9504,28,9,2022,31,L,913,9,5,10000
7900,17,3,2023,39,P,754,17,8,10000
8679,27,7,2024,57,L,152,8,13,10000
4000,19,7,2024,62,L,863,17,8,40000
8533,24,1,2024,30,L,497,17,2,50000
6724,9,10,2023,23,L,411,6,10,10000
3363,23,2,2023,64,L,84,12,9,20000
6665,30,11,2022,63,P,357,2,7,10000
1283,26,3,2022,71,L,40,17,11,20000
2164,28,1,2023,45,L,853,2,1,10000
5281,22,1,2024,25,P,967,6,3,40000
7084,6,7,2024,48,P,459,8,3,50000
4030,11,9,2022,76,L,65,6,3,30000
1285,29,6,2023,43,L,20,18,6,40000
4730,19,10,2023,27,L,440,10,11,20000
9942,6,10,2024,30,P,214,4,2,20000
5562,15,9,2024,52,P,474,3,9,20000
4338,1,5,2022,54,L,792,2,13,50000
5691,23,4,2023,49,P,449,5,6,30000
5095,14,10,2023,50,L,472,2,14,50000
4916,7,10,2024,34,L,35,2,5,10000
2695,10,10,2022,35,L,262,4,12,40000
8435,2,1,2023,76,L,430,1,5,20000
7487,21,5,2023,21,P,716,16,5,20000
1471,25,5,2023,56,L,667,16,12,40000
8001,1,11,2022,69,L,101,9,5,10000
880,17,4,2023,50,L,656,4,13,40000
9667,4,1,2024,46,L,721,16,6,50000
5559,10,5,2022,30,P,298,3,14,50000
5487,27,7,2024,28,L,89,5,4,30000
6925,18,10,2024,51,L,704,11,10,10000
1475,3,1,2022,33,L,209,9,4,50000
8884,11,11,2024,73,P,603,18,13,40000
5854,19,5,2022,51,P,796,4,8,30000
9450,22,7,2022,60,P,425,10,6,20000
7418,5,7,2024,35,L,855,1,7,10000
1000,31,11,2024,51,L,30,14,10,50000
1166,17,9,2023,28,L,783,4,8,50000
1552,18,3,2024,21,L,760,5,11,50000
2167,24,7,2022,55,P,603,11,13,20000
2281,10,7,2024,32,P,626,6,5,20000
401,14,3,2024,29,L,337,11,8,50000
1355,11,10,2023,39,L,392,1,11,50000
5703,3,9,2023,48,P,835,5,14,30000
2783,23,4,2022,57,L,182,10,9,20000
2962,9,9,2022,61,P,956,14,6,10000
1662,30,9,2023,52,L,591,12,11,10000
3789,8,2,2022,70,L,395,17,2,50000
2580,7,11,2023,68,P,380,2,1,30000
367,29,4,2024,25,L,500,10,1,50000
853,28,9,2023,49,L,84,4,11,30000
9430,12,10,2023,22,L,545,7,4,30000
6232,5,12,2022,21,L,769,11,12,10000
4692,5,3,2023,77,P,683,9,10,20000
8185,19,10,2024,44,L,601,13,6,40000
4453,30,8,2022,23,L,516,18,5,40000
9019,31,4,2024,78,L,349,12,2,50000
9088,31,12,2024,46,L,989,17,11,20000
8230,11,12,2024,32,L,239,5,12,30000
503,2,2,2022,54,L,824,7,6,50000
7644,23,4,2023,66,L,342,17,5,20000
9109,2,10,2023,42,P,79,9,8,50000
8510,23,10,2023,25,L,831,3,9,10000
2853,17,10,2023,76,P,497,16,3,20000
1259,21,4,2023,28,P,470,19,8,50000
8405,13,8,2024,26,P,543,6,12,30000
7878,17,8,2023,69,L,656,3,8,20000
2711,18,10,2024,30,L,328,20,7,10000
7729,6,8,2023,61,L,763,18,8,20000
2277,11,12,2024,28,P,809,18,13,40000
9383,21,4,2024,48,L,351,14,2,50000
5593,19,10,2024,58,P,957,17,4,40000
6930,27,9,2024,22,L,156,9,8,10000
7934,16,3,2022,64,L,628,8,3,50000
3736,29,11,2023,76,L,539,6,2,30000
2083,4,3,2024,73,P,744,4,8,10000
930,2,6,2022,75,L,467,15,9,40000
9833,4,2,2022,72,P,779,15,3,40000
1276,31,8,2022,62,L,198,18,9,10000
8527,16,6,2023,69,P,902,19,4,10000
4880,26,10,2023,67,L,421,10,5,30000
8228,23,9,2024,75,P,764,17,14,20000
4389,9,5,2024,36,L,880,9,2,50000
3180,20,8,2023,71,L,955,15,8,10000
2725,8,6,2022,64,P,27,18,8,20000
7426,24,2,2022,33,L,927,19,6,10000
1410,28,10,2023,29,L,407,1,14,20000
6896,20,4,2022,29,P,888,13,10,40000
4239,4,7,2022,52,P,619,16,11,30000
9384,10,3,2024,68,L,183,8,12,30000
5739,27,11,2022,65,P,463,10,6,50000
4069,17,12,2024,80,L,19,19,2,30000
8701,6,2,2024,23,L,679,12,8,10000
8530,2,4,2024,73,L,814,18,3,20000
475,22,1,2024,52,L,467,7,11,10000
9866,1,10,2024,52,P,874,14,8,50000
1078,23,7,2023,44,L,749,8,5,50000
4306,10,6,2022,73,P,104,9,12,30000
4419,10,12,2023,50,L,865,20,13,40000
4245,12,6,2024,67,P,685,11,4,30000
7409,15,4,2022,62,P,126,17,4,20000
7408,31,7,2023,72,L,92,19,13,30000
7925,20,8,2022,73,P,875,14,9,50000
6649,18,2,2023,45,L,120,13,8,40000
4192,16,1,2022,25,P,94,2,6,50000
7970,1,12,2022,47,L,784,9,5,30000
6016,26,8,2024,38,P,970,11,11,20000
1396,2,5,2022,33,P,614,2,6,20000
1559,21,1,2024,59,P,266,13,13,10000
4621,26,1,2022,48,L,635,4,7,40000
5451,3,12,2022,41,P,201,14,11,30000
8357,7,11,2024,70,P,122,14,8,30000
1170,1,3,2022,52,P,978,13,14,20000
3612,26,7,2022,25,P,188,4,7,50000
2740,29,12,2023,77,L,178,4,6,10000
4518,19,11,2024,31,L,836,12,14,20000
7504,18,6,2022,39,P,242,1,11,40000
3978,12,8,2022,75,P,275,17,9,30000
5561,26,10,2024,28,L,856,8,7,20000
9336,20,9,2022,61,L,986,19,5,50000
9646,20,4,2023,30,P,172,18,1,30000
5098,23,4,2022,42,L,116,3,13,10000
899,1,6,2024,37,P,376,5,2,40000
7672,2,4,2022,77,L,242,5,8,50000
754,11,7,2023,25,L,31,14,13,20000
3851,30,4,2023,77,P,345,10,6,20000
9986,16,4,2024,26,P,994,4,11,50000
2014,12,10,2022,75,L,426,18,7,40000
4277,16,1,2024,29,L,664,18,12,50000
726,18,11,2022,51,L,135,19,6,30000
2628,9,6,2024,37,P,106,1,8,40000
2706,30,2,2022,48,P,60,1,9,30000
8365,28,1,2023,41,P,825,17,8,30000
9250,11,2,2022,24,L,791,16,12,50000
7992,10,3,2024,30,L,817,3,2,10000
795,19,10,2024,47,L,431,9,5,20000
7371,8,3,2022,43,L,916,19,12,40000
5155,19,11,2023,58,L,175,16,12,30000
7902,12,11,2024,48,P,267,16,11,40000
3695,3,11,2024,58,L,619,9,5,20000
139,7,10,2023,78,L,287,13,4,40000
856,27,8,2023,41,P,383,19,7,50000
6701,22,6,2024,51,P,421,20,2,10000
4754,1,11,2022,27,L,838,11,5,20000
6881,30,10,2022,22,L,317,11,3,50000
9199,28,10,2023,26,P,88,19,12,30000
159,22,7,2024,39,P,42,12,9,30000
827,26,11,2022,65,P,264,20,6,40000
6203,2,10,2024,27,L,247,11,9,40000
94,25,10,2023,45,L,452,18,11,50000
9973,2,11,2022,48,L,399,8,5,50000
4839,21,12,2023,75,P,686,14,13,40000
9357,1,4,2023,55,L,822,19,1,50000
3795,9,3,2022,72,P,775,7,7,10000
1270,9,1,2023,53,L,579,4,5,10000
2688,14,7,2024,48,P,110,7,14,30000
8320,27,1,2024,47,L,124,14,12,40000
6135,17,5,2024,48,P,64,11,11,20000
4135,20,3,2022,29,L,576,18,12,50000
9270,19,4,2023,42,L,190,6,10,20000
914,11,2,2024,50,P,248,6,3,30000
9712,5,8,2023,62,L,288,11,8,50000
3506,18,11,2023,39,L,947,12,1,40000
9430,30,9,2023,34,P,994,2,4,50000
6929,22,4,2022,72,L,795,3,14,30000
5594,2,1,2024,26,P,422,20,5,20000
6218,25,8,2023,68,P,722,1,12,20000
6181,6,9,2024,80,P,653,1,12,20000
1474,25,1,2022,44,P,929,16,5,30000
8001,25,4,2022,21,L,774,6,3,40000
1741,12,2,2022,63,P,318,3,11,40000
3679,29,8,2023,45,L,232,15,14,50000
2122,19,8,2023,44,P,571,5,13,20000
4122,30,12,2024,51,P,934,13,11,50000
9782,16,2,2022,79,P,558,20,13,20000
75,3,5,2023,45,L,337,4,7,10000
4614,8,3,2022,45,L,362,20,4,10000
1125,7,1,2022,74,P,29,13,8,40000
7248,4,3,2024,27,P,272,14,8,10000
6154,4,12,2022,45,P,918,19,13,10000
592,19,1,2022,27,P,74,10,2,10000
5729,21,8,2023,32,L,469,4,13,20000
1063,27,5,2024,72,P,860,10,10,30000
9971,13,7,2023,77,P,533,6,10,40000
2356,3,8,2022,66,P,387,12,4,10000
5581,26,7,2023,28,L,376,14,10,20000
1235,28,2,2024,40,P,311,10,8,50000
7121,13,12,2023,53,P,136,12,8,20000
9482,28,8,2022,35,P,673,18,10,50000
9481,28,11,2022,40,L,139,7,13,40000
8167,28,10,2022,50,L,133,15,4,50000
9245,5,3,2024,48,P,41,6,6,40000
5293,29,10,2023,38,L,319,3,3,30000
4581,1,12,2023,23,L,253,2,9,10000
4041,22,7,2022,50,P,940,7,14,20000
7738,10,7,2024,61,L,560,14,10,10000
1815,2,9,2022,62,P,255,20,3,30000
5252,25,4,2022,50,P,195,8,12,40000
6316,10,10,2022,49,L,671,2,12,20000
4042,12,1,2023,57,L,47,12,9,50000
1151,31,4,2024,32,P,697,18,4,40000
4533,10,12,2022,31,P,185,16,5,10000
2598,14,11,2022,43,P,624,11,9,50000
8228,4,12,2022,48,P,51,14,1,10000
2571,20,6,2024,72,L,782,18,11,20000
5722,21,5,2024,53,L,545,6,10,50000
4002,31,9,2023,31,P,43,16,5,30000
4529,13,4,2023,57,L,949,13,9,50000
375,7,4,2024,67,L,753,4,10,30000
7083,16,3,2023,27,P,956,9,5,10000
5561,18,7,2024,49,L,489,2,13,40000
2256,12,10,2022,77,P,313,5,11,20000
6289,15,2,2024,51,L,369,18,7,20000
4664,9,11,2022,35,P,335,6,1,10000
6095,22,12,2022,28,P,619,7,4,50000
2341,23,12,2022,64,L,205,4,12,20000
6698,14,4,2024,41,L,981,17,14,50000
4513,30,8,2024,25,P,224,9,1,30000
1683,8,3,2023,64,P,190,7,1,20000
3461,7,7,2022,73,P,229,18,13,20000
6395,3,2,2022,41,P,437,17,6,20000
9515,27,9,2024,58,L,922,9,9,30000
4465,18,1,2022,73,P,591,4,3,40000
7272,15,12,2024,28,P,50,20,10,40000
7798,1,9,2023,35,L,777,18,7,30000
7532,20,9,2024,50,P,626,6,3,50000
2824,2,11,2023,24,P,125,11,13,50000
7369,5,7,2023,37,L,650,2,1,10000
629,2,1,2022,41,L,818,2,3,50000
4826,11,9,2024,34,L,136,8,3,40000
8281,25,9,2024,23,L,979,10,10,10000
6861,27,1,2023,34,P,546,17,10,50000
2538,10,5,2024,42,P,657,13,6,50000
6601,26,10,2023,59,P,281,1,12,30000
6625,6,12,2023,59,P,65,7,8,10000
9952,1,1,2024,43,P,818,7,12,10000
7911,19,2,2022,71,L,461,9,4,10000
695,29,12,2024,62,L,156,7,1,40000
4014,11,6,2024,72,P,592,1,12,20000
5739,29,6,2023,51,L,775,10,2,20000
6650,9,12,2023,60,P,52,7,13,30000
5391,20,3,2022,69,P,640,8,9,10000
9945,25,5,2022,54,P,447,15,11,40000
6105,15,1,2022,56,L,802,1,6,30000
4893,24,9,2023,25,L,960,7,5,20000
5255,17,1,2024,45,L,954,14,13,30000
2236,4,2,2023,56,L,304,19,1,50000
4225,8,4,2022,75,P,318,6,6,30000
8800,17,3,2024,39,L,35,20,6,20000
592,24,3,2023,73,P,204,17,12,40000
1735,31,8,2022,67,L,977,13,11,30000
2150,8,3,2023,50,P,374,10,4,10000
751,7,8,2024,58,L,190,13,12,10000
5012,19,1,2024,77,P,123,15,8,10000
8802,17,6,2022,26,L,424,5,10,40000
174,28,1,2022,80,L,15,12,5,30000
101,24,12,2023,49,L,750,7,1,10000
1531,31,7,2023,74,L,13,7,1,10000
7135,11,9,2024,24,L,519,1,8,30000
6037,16,7,2024,53,L,707,18,7,40000
2218,12,10,2024,75,P,885,15,10,20000
3930,26,1,2023,29,P,396,1,1,40000
8254,15,5,2024,68,P,896,14,10,40000
2263,27,9,2022,32,P,947,1,7,20000
8786,13,12,2024,57,L,158,14,7,50000
5714,18,4,2023,63,L,545,16,2,10000
7049,10,4,2022,65,L,289,12,13,10000
6108,10,11,2023,72,P,534,8,14,40000
6680,1,5,2024,64,L,933,10,9,50000
6881,10,3,2024,55,L,290,17,10,20000
2112,29,2,2024,33,L,943,12,9,40000
6332,26,6,2024,62,P,902,7,8,40000
264,6,7,2023,40,L,375,16,5,30000
6397,11,5,2023,44,P,760,15,13,40000
7823,7,8,2023,72,P,375,7,13,40000
9948,24,4,2022,29,L,671,4,14,30000
5952,14,9,2023,43,P,957,19,10,10000
1773,18,9,2023,63,L,573,5,7,10000
9833,29,9,2024,48,P,498,5,7,30000
3391,29,5,2022,24,L,115,6,7,40000
9009,14,8,2023,34,P,687,6,13,20000
1783,27,5,2024,59,L,975,10,11,30000
2810,16,12,2024,48,L,309,16,12,10000
8205,5,5,2024,74,L,792,19,7,40000
6327,23,12,2023,39,L,651,9,12,40000
4700,12,9,2022,48,L,998,2,9,40000
597,16,5,2022,66,P,61,5,9,20000
4840,27,8,2022,41,P,969,6,1,40000
5061,14,3,2024,52,P,241,6,4,10000
182,17,7,2024,51,P,525,20,11,20000
8252,3,10,2022,50,L,742,1,7,50000
2003,16,10,2024,61,P,306,15,13,20000
1785,6,12,2024,45,P,284,4,6,40000
4337,8,4,2022,23,L,806,13,10,10000
8100,25,5,2023,65,P,129,19,4,40000
6608,28,3,2022,25,P,531,14,7,30000
9404,28,8,2024,33,P,465,6,1,50000
3068,4,9,2022,40,L,892,17,7,20000
7427,17,5,2024,28,L,661,1,13,30000
7489,6,2,2024,23,P,361,14,2,40000
4434,23,12,2023,42,L,800,1,7,10000
5918,23,4,2024,57,L,159,10,5,20000
5947,18,7,2022,40,P,461,15,2,40000
3203,15,4,2024,43,P,381,12,12,10000
9570,4,10,2023,54,L,811,3,8,30000
5829,8,1,2023,65,P,267,20,3,40000
5113,19,2,2024,71,L,594,11,11,30000
7395,13,3,2024,25,P,862,7,14,20000
1312,18,11,2022,64,P,292,17,13,50000
5033,13,11,2024,68,L,293,13,1,10000
8260,26,12,2024,66,L,331,18,8,40000
3000,12,7,2022,65,P,707,19,6,10000
9375,23,1,2022,54,P,260,20,9,40000
6427,13,12,2022,47,P,638,17,3,20000
1798,24,4,2022,53,L,937,14,5,50000
5990,22,8,2023,65,P,315,8,3,50000
2881,8,11,2023,59,L,16,3,5,50000
7863,30,11,2023,48,L,261,20,5,20000
3409,6,12,2022,75,L,990,16,1,20000
466,22,12,2024,55,L,248,6,6,10000
8271,10,11,2024,21,L,67,7,13,10000
5501,15,9,2023,22,L,685,1,4,50000
316,5,9,2023,49,P,165,4,13,20000
3069,24,3,2024,52,P,971,14,9,50000
5894,30,2,2023,68,P,646,7,2,40000
3726,6,12,2024,33,P,131,14,9,10000
3392,9,3,2024,59,P,617,20,4,20000
2776,31,3,2024,47,L,88,20,10,10000
2273,16,11,2022,34,P,725,1,9,10000
2462,22,5,2024,32,L,860,13,12,20000
7270,8,4,2024,41,L,506,19,3,50000
4059,25,3,2022,26,L,979,6,1,40000
6777,17,3,2023,77,P,189,17,11,10000
2233,6,9,2024,39,P,920,2,14,20000
189,20,12,2023,47,P,229,2,11,30000
8676,14,7,2022,48,P,796,12,4,30000
1448,27,11,2022,28,P,958,14,3,40000
4172,17,4,2022,27,L,431,18,8,50000
9818,24,5,2022,21,L,660,15,10,20000
502,18,5,2022,21,L,201,7,3,50000
4522,14,2,2022,57,P,881,4,6,30000
744,11,7,2022,42,L,337,2,8,50000
6243,6,11,2024,76,L,298,12,3,20000
9981,20,5,2023,54,P,944,3,10,10000
1208,20,10,2024,21,P,695,7,10,20000
250,1,10,2022,39,L,108,1,13,20000
1459,21,9,2022,37,P,415,16,9,20000
9011,23,6,2022,52,L,340,19,3,20000
2313,25,3,2023,55,L,640,13,12,50000
1316,14,7,2024,31,P,382,8,4,10000
5077,5,12,2024,32,P,715,18,13,10000
3336,27,7,2024,57,P,179,8,7,20000
1376,20,12,2022,24,P,854,11,8,20000
7615,27,7,2024,26,P,835,2,7,10000
5079,5,6,2022,67,L,943,12,11,40000
1729,23,2,2024,35,P,795,14,9,10000
4763,13,2,2024,53,P,842,5,10,30000
965,11,3,2024,30,L,165,9,6,50000
770,31,10,2022,78,P,27,12,3,40000
7171,21,11,2024,60,L,558,20,11,50000
8375,13,1,2024,51,L,569,20,13,30000
3923,27,11,2023,30,L,834,16,8,30000
9387,12,9,2023,68,L,995,3,6,10000
2297,16,3,2023,79,P,627,8,11,40000
9957,2,1,2022,65,P,32,12,2,20000
8178,22,5,2022,59,L,349,8,1,10000
1886,12,8,2022,21,L,389,3,12,20000
4570,22,8,2024,75,L,511,12,14,50000
3383,17,9,2023,46,L,206,16,14,30000
4852,31,6,2024,74,L,498,17,4,10000
5814,19,8,2024,22,P,462,4,9,40000
1835,29,8,2023,76,P,609,15,2,20000
3438,24,11,2024,38,L,420,18,7,10000
8237,28,7,2022,44,P,542,10,9,40000
5665,16,8,2022,24,L,554,4,10,40000
8324,7,5,2023,55,L,223,11,11,10000
7957,27,3,2023,26,P,946,16,10,50000
3148,5,3,2023,68,P,62,3,6,50000
1140,4,11,2024,40,L,475,16,1,30000
4621,14,7,2023,50,P,304,17,3,30000
715,4,7,2022,48,L,770,16,2,10000
1780,4,5,2023,26,L,522,16,6,50000
2828,4,10,2022,64,L,416,19,2,50000
1390,15,3,2022,70,L,176,7,4,20000
9370,5,5,2022,63,P,206,20,3,50000
1780,2,8,2024,48,P,931,20,1,30000
999,27,6,2024,33,L,737,20,10,50000
984,12,4,2024,57,L,904,1,6,40000
6740,26,2,2022,70,L,304,18,1,50000
126,17,11,2023,60,P,267,18,3,50000
6625,23,3,2023,58,P,941,7,4,30000
5991,12,9,2024,67,P,432,18,7,20000
1747,20,5,2024,40,L,730,6,1,30000
2829,12,2,2024,26,P,630,11,8,20000
6174,15,12,2022,59,P,825,5,5,50000
3322,7,7,2023,42,P,357,15,1,20000
2779,11,11,2024,41,P,526,2,12,50000
8740,27,5,2024,75,P,986,20,12,40000
7804,13,6,2022,58,P,617,2,11,50000
4110,23,9,2024,40,P,71,15,6,20000
1868,1,8,2024,60,P,29,19,11,20000
5264,27,6,2024,22,L,148,1,6,40000
4478,5,4,2024,25,P,737,17,9,30000
9615,22,7,2022,47,P,181,12,5,10000
7179,9,4,2023,26,P,625,9,2,20000
37,21,9,2023,31,P,310,18,8,20000
2587,29,5,2023,30,P,266,17,12,40000
8904,4,1,2023,42,L,136,2,2,10000
2857,4,6,2023,44,L,481,8,8,10000
